"","predictions"
"352",2.08191858405885
"353",6.24430876848767
"354",2.53559798570704
"355",2.06820101817467
"356",1.87641951560581
"357",1.92777434289732
"358",11.3952548007598
"359",2.40518605970255
"360",1.89711105101557
"361",1.90943553356329
"362",1.95357362021914
"363",1.87655596371034
"364",1.90708538521093
"365",1.92685655367156
"366",1.90661597506561
"367",4.04099686823022
"368",4.93402060717908
"369",10.4811550815029
"370",4.35046647445906
"371",1.91631928207782
"372",1.89051545205847
"373",11.8168873984919
"374",10.9373035215124
"375",1.91252639132656
"376",1.90465173611893
"377",9.02139503367645
"378",11.839087963169
"379",11.3743907641209
"380",7.94290729575842
"381",1.96386882521539
"382",11.5619286933384
"383",9.46058218685412
"384",1.90409171972503
"385",1.90398021971445
"386",3.14043965144199
"387",4.33493504243047
"388",2.55200963190521
"389",11.4761652530171
"390",11.4469534812733
"391",4.07633339967259
"392",5.75214140352677
"393",1.92660492478531
"394",7.9475417112037
"395",1.9231926370244
"396",4.79828716920215
"397",1.91102600870281
"398",1.92649849724574
"399",1.90173531957161
"400",4.27419422749336
"401",1.86032370749116
"402",1.94352396642417
"403",1.89971926741291
"404",1.89544159269318
"405",1.89750101765999
"406",11.0315733498982
"407",1.93699982723733
"408",1.92440298253029
"409",2.09332383494781
"410",2.36847590883225
"411",1.87956026128028
"412",1.9428317182044
"413",1.93223587007162
"414",1.91618769929035
"415",4.6182944223348
"416",2.68102142272931
"417",1.91936130140106
"418",10.2300681133815
"419",4.73574751213705
"420",2.63077809459598
"421",10.5732510121805
"422",11.8133771554892
"423",7.04779744117854
"424",1.90692843464339
"425",1.87964699573274
"426",2.51379142576705
"427",2.5561531953393
"428",3.60486396867525
"429",2.50998654631244
"430",1.88326251999092
"431",4.19615781024403
"432",3.27556338115428
"433",1.87611122834031
"434",7.43830741279372
"435",2.78821499522229
"436",1.92191785789445
"437",11.7808048889986
"438",1.92273685784051
"439",10.9539933957889
"440",6.03124005582127
"441",11.6291711080882
"442",1.92976992081016
"443",1.90261940743181
"444",1.91368188515723
"445",5.46327173940183
"446",7.05932957586789
"447",1.9733638697444
"448",1.91352330437699
"449",2.24119712780394
"450",1.90964547574853
"451",10.8552051911126
"452",1.89561165927233
"453",11.7453856973504
"454",3.48414855394094
"455",2.84227750007959
"456",1.89784017447423
"457",2.10708119357176
"458",4.85607009193783
"459",7.87865532407361
"460",1.88246623794814
"461",1.93830043148439
